price,stock_name
"1,412.00",Piramal Enter
"1,127.70",Muthoot Finance
82.65,ONGC
3.30,Jaiprakash Asso
761.35,Infosys
"1,357.55",Kotak Mahindra
128.45,Sterlite Techno
145.30,Hindalco
350.20,Bharat Forge
104.35,Vedanta
"1,028.90",PVR
price,stock_name
55.60,Alok Industries
"1,351.00",Metropolis
"1,774.00",Reliance
"2,954.00",Bajaj Finance
219.45,Indiabulls Hsg
427.85,Axis Bank
4.75,Reliance Power
98.40,Motherson Sumi
139.85,Future Retail
573.45,Bharti Airtel
104.70,Tata Motors
10.07,Vodafone Idea
491.30,IndusInd Bank
207.10,ITC
"1,077.75",HDFC Bank
184.45,SBI
52.60,BTL
"2,183.30",TCS
577.40,HDFC Life
109.55,Phillips Carbon
"2,169.50",HUL
362.90,Adani Ports
"2,722.65",Hero Motocorp
202.05,Cholamandalam
50.40,Tata Power
340.25,Bandhan Bank
270.50,Petronet LNG
366.30,Bharat Dynamics
183.90,M&M Financial
"6,204.95",Bajaj Finserv
364.40,ICICI Bank
"1,880.25",HDFC
93.55,Bharat Elec
38.05,BHEL
"5,946.50",Maruti Suzuki
528.05,M&M
175.10,RBL Bank
244.90,Ujjivan Financi
9.88,CG Power 
154.40,Jindal Steel
"2,937.00",Bajaj Auto
332.85,Tata Steel
363.85,Cadila Health
40.50,Reliance Infra
"2,190.00",Divis Labs
511.30,IOL Chemicals
"1,702.05",Asian Paints
389.20,Just Dial
949.15,Larsen
"1,412.00",Piramal Enter
"1,127.70",Muthoot Finance
82.65,ONGC
3.30,Jaiprakash Asso
761.35,Infosys
"1,357.55",Kotak Mahindra
128.45,Sterlite Techno
145.30,Hindalco
350.20,Bharat Forge
104.35,Vedanta
"1,028.90",PVR
price,stock_name
55.60,Alok Industries
"1,351.00",Metropolis
"1,774.00",Reliance
"2,954.00",Bajaj Finance
219.45,Indiabulls Hsg
427.85,Axis Bank
4.75,Reliance Power
98.40,Motherson Sumi
139.85,Future Retail
573.45,Bharti Airtel
104.70,Tata Motors
10.07,Vodafone Idea
491.30,IndusInd Bank
207.10,ITC
"1,077.75",HDFC Bank
184.45,SBI
52.60,BTL
"2,183.30",TCS
577.40,HDFC Life
109.55,Phillips Carbon
"2,169.50",HUL
362.90,Adani Ports
"2,722.65",Hero Motocorp
202.05,Cholamandalam
50.40,Tata Power
340.25,Bandhan Bank
270.50,Petronet LNG
366.30,Bharat Dynamics
183.90,M&M Financial
"6,204.95",Bajaj Finserv
364.40,ICICI Bank
"1,880.25",HDFC
93.55,Bharat Elec
38.05,BHEL
"5,946.50",Maruti Suzuki
528.05,M&M
175.10,RBL Bank
244.90,Ujjivan Financi
9.88,CG Power 
154.40,Jindal Steel
"2,937.00",Bajaj Auto
332.85,Tata Steel
363.85,Cadila Health
40.50,Reliance Infra
"2,190.00",Divis Labs
511.30,IOL Chemicals
"1,702.05",Asian Paints
389.20,Just Dial
949.15,Larsen
"1,412.00",Piramal Enter
"1,127.70",Muthoot Finance
82.65,ONGC
3.30,Jaiprakash Asso
761.35,Infosys
"1,357.55",Kotak Mahindra
128.45,Sterlite Techno
145.30,Hindalco
350.20,Bharat Forge
104.35,Vedanta
"1,028.90",PVR
price,stock_name
55.60,Alok Industries
"1,351.00",Metropolis
"1,773.40",Reliance
"2,956.95",Bajaj Finance
219.00,Indiabulls Hsg
427.50,Axis Bank
4.75,Reliance Power
98.30,Motherson Sumi
139.90,Future Retail
573.75,Bharti Airtel
104.80,Tata Motors
10.08,Vodafone Idea
489.40,IndusInd Bank
207.05,ITC
"1,077.95",HDFC Bank
184.55,SBI
52.60,BTL
"2,181.10",TCS
576.80,HDFC Life
109.75,Phillips Carbon
"2,169.60",HUL
362.05,Adani Ports
50.20,Tata Power
"2,721.85",Hero Motocorp
202.15,Cholamandalam
"6,195.00",Bajaj Finserv
366.65,Bharat Dynamics
270.75,Petronet LNG
340.15,Bandhan Bank
183.60,M&M Financial
364.45,ICICI Bank
"1,880.25",HDFC
93.65,Bharat Elec
37.95,BHEL
"5,945.00",Maruti Suzuki
528.65,M&M
175.05,RBL Bank
9.85,CG Power 
244.75,Ujjivan Financi
154.30,Jindal Steel
364.10,Cadila Health
"2,935.30",Bajaj Auto
332.70,Tata Steel
40.50,Reliance Infra
"2,190.00",Divis Labs
389.95,Just Dial
511.60,IOL Chemicals
"1,702.10",Asian Paints
949.05,Larsen
"1,412.00",Piramal Enter
"1,126.90",Muthoot Finance
82.60,ONGC
3.30,Jaiprakash Asso
761.50,Infosys
"1,357.55",Kotak Mahindra
128.75,Sterlite Techno
145.25,Hindalco
349.55,Bharat Forge
104.35,Vedanta
"1,028.75",PVR
price,stock_name
55.60,Alok Industries
"1,351.00",Metropolis
"1,773.40",Reliance
"2,956.95",Bajaj Finance
219.00,Indiabulls Hsg
427.50,Axis Bank
4.75,Reliance Power
98.30,Motherson Sumi
139.90,Future Retail
573.75,Bharti Airtel
104.80,Tata Motors
10.08,Vodafone Idea
489.40,IndusInd Bank
207.05,ITC
"1,077.95",HDFC Bank
184.55,SBI
